学号,姓名,专业,年级,班级,加权平均成绩,高等数学（上）成绩,高等数学（下）成绩
22010101,韩帆,计算机科学与技术,2022,计科221,73.82,83.00,72.00
22010102,周涵,计算机科学与技术,2022,计科221,75.97,61.00,94.00
22010103,杨龙龙,计算机科学与技术,2022,计科221,77.07,72.00,78.00
22010104,刘一明,计算机科学与技术,2022,计科221,77.54,84.00,83.00
22010105,赵琦璨,计算机科学与技术,2022,计科221,71.00,70.00,63.00
22010106,陈萱,计算机科学与技术,2022,计科221,71.73,67.00,72.00
22010107,卫琬,计算机科学与技术,2022,计科221,79.65,94.00,90.00
22010108,吴诗,计算机科学与技术,2022,计科221,77.22,68.00,89.00
22010109,许璐,计算机科学与技术,2022,计科221,74.64,86.00,63.00
22010210,唐璧晴,计算机科学与技术,2022,计科222,76.30,89.00,98.00
22010211,周淑玉,计算机科学与技术,2022,计科222,75.81,87.00,88.00
22010212,周诗晖,计算机科学与技术,2022,计科222,78.43,82.00,67.00
22010213,钱轩,计算机科学与技术,2022,计科222,75.49,62.00,77.00
22010214,林辉琦,计算机科学与技术,2022,计科222,74.66,82.00,93.00
22010215,褚诗明,计算机科学与技术,2022,计科222,73.14,72.00,80.00
22010216,褚晴,计算机科学与技术,2022,计科222,78.99,87.00,78.00
22010217,沈墨俊,计算机科学与技术,2022,计科222,79.40,88.00,80.00
22010218,赵子璨,计算机科学与技术,2022,计科222,71.86,63.00,71.00
22010219,卫瑶瑶,计算机科学与技术,2022,计科222,70.19,89.00,66.00
22010220,王瑞琼,计算机科学与技术,2022,计科222,71.20,89.00,67.00
22010221,曹淑晓,计算机科学与技术,2022,计科222,79.13,84.00,98.00
22010322,林阳琦,计算机科学与技术,2022,计科223,74.45,83.00,66.00
22010323,陆瑾,计算机科学与技术,2022,计科223,76.17,82.00,68.00
22010324,刘璇,计算机科学与技术,2022,计科223,78.22,86.00,67.00
22010325,赵润涛,计算机科学与技术,2022,计科223,75.72,80.00,87.00
22010326,冯涛璦,计算机科学与技术,2022,计科223,77.61,84.00,67.00
22010327,韩涛琼,计算机科学与技术,2022,计科223,79.84,84.00,85.00
22010328,冯琳琦,计算机科学与技术,2022,计科223,77.43,78.00,79.00
22010329,韩璐雅,计算机科学与技术,2022,计科223,71.22,79.00,73.00
22010330,陆伟,计算机科学与技术,2022,计科223,76.54,89.00,88.00
22010331,林璧涛,计算机科学与技术,2022,计科223,72.45,70.00,83.00
22010332,黄帆琦,计算机科学与技术,2022,计科223,77.39,81.00,63.00
22010333,曹浩,计算机科学与技术,2022,计科223,71.52,81.00,62.00
