学号,姓名,专业,年级,班级,程序设计基础成绩
22010101,韩帆,计算机科学与技术,2022,计科221,64.00
22010102,周涵,计算机科学与技术,2022,计科221,66.00
22010103,杨龙龙,计算机科学与技术,2022,计科221,85.00
22010104,刘一明,计算机科学与技术,2022,计科221,73.00
22010105,赵琦璨,计算机科学与技术,2022,计科221,100.00
22010106,陈萱,计算机科学与技术,2022,计科221,78.00
22010107,卫琬,计算机科学与技术,2022,计科221,94.00
22010108,吴诗,计算机科学与技术,2022,计科221,80.00
22010109,许璐,计算机科学与技术,2022,计科221,84.00
22010210,唐璧晴,计算机科学与技术,2022,计科222,61.00
22010211,周淑玉,计算机科学与技术,2022,计科222,65.00
22010212,周诗晖,计算机科学与技术,2022,计科222,75.00
22010213,钱轩,计算机科学与技术,2022,计科222,98.00
22010214,林辉琦,计算机科学与技术,2022,计科222,69.00
22010215,褚诗明,计算机科学与技术,2022,计科222,72.00
22010216,褚晴,计算机科学与技术,2022,计科222,85.00
22010217,沈墨俊,计算机科学与技术,2022,计科222,84.00
22010218,赵子璨,计算机科学与技术,2022,计科222,89.00
22010219,卫瑶瑶,计算机科学与技术,2022,计科222,62.00
22010220,王瑞琼,计算机科学与技术,2022,计科222,70.00
22010221,曹淑晓,计算机科学与技术,2022,计科222,67.00
22010322,林阳琦,计算机科学与技术,2022,计科223,69.00
22010323,陆瑾,计算机科学与技术,2022,计科223,96.00
22010324,刘璇,计算机科学与技术,2022,计科223,86.00
22010325,赵润涛,计算机科学与技术,2022,计科223,66.00
22010326,冯涛璦,计算机科学与技术,2022,计科223,84.00
22010327,韩涛琼,计算机科学与技术,2022,计科223,89.00
22010328,冯琳琦,计算机科学与技术,2022,计科223,96.00
22010329,韩璐雅,计算机科学与技术,2022,计科223,63.00
22010330,陆伟,计算机科学与技术,2022,计科223,81.00
22010331,林璧涛,计算机科学与技术,2022,计科223,72.00
22010332,黄帆琦,计算机科学与技术,2022,计科223,87.00
22010333,曹浩,计算机科学与技术,2022,计科223,63.00
